Name,HighValue,Description,AdminCount
STORAGE REPLICA ADMINISTRATORS@HTB.LOCAL,False,Members of this group have complete and unrestricted access to all features of Storage Replica.,False
ACCESS CONTROL ASSISTANCE OPERATORS@HTB.LOCAL,False,Members of this group can remotely query authorization attributes and permissions for resources on this computer.,False
REMOTE MANAGEMENT USERS@HTB.LOCAL,False,Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.,False
HYPER-V ADMINISTRATORS@HTB.LOCAL,False,Members of this group have complete and unrestricted access to all features of Hyper-V.,False
RDS MANAGEMENT SERVERS@HTB.LOCAL,False,Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.,False
RDS ENDPOINT SERVERS@HTB.LOCAL,False,Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.,False
RDS REMOTE ACCESS SERVERS@HTB.LOCAL,False,"Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.",False
CERTIFICATE SERVICE DCOM ACCESS@HTB.LOCAL,False,Members of this group are allowed to connect to Certification Authorities in the enterprise,False
CRYPTOGRAPHIC OPERATORS@HTB.LOCAL,False,Members are authorized to perform cryptographic operations.,False
EVENT LOG READERS@HTB.LOCAL,False,Members of this group can read event logs from local machine,False
IIS_IUSRS@HTB.LOCAL,False,Built-in group used by Internet Information Services.,False
PERFORMANCE LOG USERS@HTB.LOCAL,False,"Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer",False
DISTRIBUTED COM USERS@HTB.LOCAL,False,"Members are allowed to launch, activate and use Distributed COM objects on this machine.",False
PERFORMANCE MONITOR USERS@HTB.LOCAL,False,Members of this group can access performance counter data locally and remotely,False
REMOTE DESKTOP USERS@HTB.LOCAL,False,Members in this group are granted the right to logon remotely,False
NETWORK CONFIGURATION OPERATORS@HTB.LOCAL,False,Members in this group can have some administrative privileges to manage configuration of networking features,False
REPLICATOR@HTB.LOCAL,False,Supports file replication in a domain,True
BACKUP OPERATORS@HTB.LOCAL,True,Backup Operators can override security restrictions for the sole purpose of backing up or restoring files,True
PRINT OPERATORS@HTB.LOCAL,True,Members can administer printers installed on domain controllers,True
USERS@HTB.LOCAL,False,Users are prevented from making accidental or intentional system-wide changes and can run most applications,False
GUESTS@HTB.LOCAL,False,"Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted",False
